FEATURE MATRIX - ESTRUCTURA OPTIMIZADA PARA XGBOOST,,,,,
"Variables ordenadas por PODER PREDICTIVO (1 = máximo, 615 = mínimo)",,,,,
Esta es la estructura de la TABLA PLANA que alimentará XGBoost,,,,,
,,,,,
PRIORIDAD,FEATURE_NAME,TIPO_DATO,NULL_ESPERADO,ORIGEN_TABLA,DESCRIPCIÓN
262,avg_months_per_club,VARCHAR(100),SOMETIMES,player_season_stats,Media de permanencia en cada club de su carrera.
263,xgot_faced_season,"DECIMAL(5,3)",SOMETIMES,player_season_stats,Expected Goals on Target enfrentados en temporada.
264,shots_on_target_season,VARCHAR(100),SOMETIMES,player_season_stats,Disparos a puerta.
265,shots,VARCHAR(100),SOMETIMES,player_match_stats,Disparos realizados.
266,shots_on_target,VARCHAR(100),SOMETIMES,player_match_stats,Disparos a puerta.
267,duels_won,VARCHAR(100),SOMETIMES,player_match_stats,Duelos ganados.
268,fouls_suffered,VARCHAR(100),SOMETIMES,player_match_stats,Faltas recibidas.
269,match_rating,"DECIMAL(6,3)",SOMETIMES,player_match_stats,Calificación del partido (0-10).
270,tribute_match_flag,BOOLEAN,SOMETIMES,player_match_stats,"BOOL: Partido dedicado/homenaje a alguien (fallecimiento, retiro)."
271,journeyman_flag,BOOLEAN,SOMETIMES,player_season_stats,BOOL: >4 clubes en últimos 5 años.
272,intl_duty_minutes_played,DATE,SOMETIMES,player_match_stats,Minutos jugados con selección en la fecha FIFA.
273,red_cards_season,SMALLINT,SOMETIMES,player_season_stats,Rojas acumuladas.
274,minutes_played,SMALLINT,SOMETIMES,player_match_stats,Minutos jugados en el partido.
275,goals,SMALLINT,SOMETIMES,player_match_stats,Goles anotados en el partido.
276,passes_completed,VARCHAR(100),SOMETIMES,player_match_stats,Pases exitosos.
277,passes_attempted,"DECIMAL(5,2)",SOMETIMES,player_match_stats,Total pases intentados.
278,duels_total,VARCHAR(100),SOMETIMES,player_match_stats,Total de duelos.
279,yellow_cards,SMALLINT,SOMETIMES,player_match_stats,Amarillas en el partido (0-2).
280,red_card,BOOLEAN,SOMETIMES,player_match_stats,BOOL: Expulsado en el partido.
281,rating_vs_personal_avg,"DECIMAL(6,3)",SOMETIMES,player_match_stats,Diferencia entre rating del partido y media personal temporada. Detecta picos/ca...
282,is_motm_flag,BOOLEAN,SOMETIMES,player_match_stats,BOOL: Designado Man of the Match en este partido.
283,first_foreign_season_flag,BOOLEAN,SOMETIMES,player_season_stats,BOOL: Primera temporada jugando fuera de su país natal.
284,matches_since_major_injury,VARCHAR(100),SOMETIMES,player_season_stats,Partidos jugados desde retorno de última lesión grave.
285,top_scorer_active_flag,BOOLEAN,SOMETIMES,player_season_stats,BOOL: Es el máximo goleador entre jugadores activos del club.
286,key_passes_season,VARCHAR(100),SOMETIMES,player_season_stats,Pases que generan ocasión.
287,key_passes,VARCHAR(100),SOMETIMES,player_match_stats,Pases que crean ocasión.
288,fouls_committed,VARCHAR(100),SOMETIMES,player_match_stats,Faltas cometidas.
289,player_xa_match,"DECIMAL(5,2)",SOMETIMES,player_match_stats,xA generado por el jugador.
290,near_club_record_flag,BOOLEAN,SOMETIMES,player_season_stats,BOOL: A <10 goles del récord histórico del club.
291,stoppage_time_announced_2h_min,SMALLINT,SOMETIMES,match_stoppage_times,Minutos añadidos anunciados en segunda mitad.
292,stoppage_time_actual_2h_s,VARCHAR(100),SOMETIMES,match_stoppage_times,Segundos reales jugados sobre los 90.
293,injury_stoppage_total_s,VARCHAR(100),SOMETIMES,match_stoppage_times,Segundos totales parados por lesiones.
294,away_manager_tenure_days,SMALLINT,SOMETIMES,manager_match_context,Días en el cargo del técnico visitante.
295,tenure_days,SMALLINT,SOMETIMES,manager_tenures,Días totales en el cargo.
296,stoppage_time_actual_1h_s,VARCHAR(100),SOMETIMES,match_stoppage_times,Segundos reales jugados sobre los 45.
297,restart_delay_avg_s,"DECIMAL(6,3)",SOMETIMES,match_stoppage_times,Segundos promedio para reanudar.
298,home_manager_tenure_days,SMALLINT,SOMETIMES,manager_match_context,Días en el cargo del técnico local.
299,win_rate,"DECIMAL(5,2)",SOMETIMES,manager_tenures,Porcentaje de victorias con este equipo.
300,home_manager_win_rate_season,"DECIMAL(5,2)",SOMETIMES,manager_match_context,% victorias técnico local temporada.
301,away_manager_win_rate_season,"DECIMAL(5,2)",SOMETIMES,manager_match_context,% victorias técnico visitante temporada.
302,cooling_breaks_count,SMALLINT,SOMETIMES,match_stoppage_times,Número de pausas de enfriamiento.
303,drink_breaks_count,SMALLINT,SOMETIMES,match_stoppage_times,Número de pausas de hidratación.
304,injury_stoppage_count,SMALLINT,SOMETIMES,match_stoppage_times,Número de parones por lesión.
305,var_total_delay_s,VARCHAR(100),SOMETIMES,match_stoppage_times,Segundos totales parados por VAR.
306,ball_in_play_time_total_s,VARCHAR(100),SOMETIMES,match_stoppage_times,Segundos totales con balón en juego.
307,away_manager_former_club_flag,BOOLEAN,OFTEN,manager_match_context,BOOL: Técnico visitante fue del rival.
308,home_manager_former_club_flag,BOOLEAN,OFTEN,manager_match_context,BOOL: Técnico local fue del rival.
309,stoppage_time_announced_1h_min,SMALLINT,SOMETIMES,match_stoppage_times,Minutos añadidos anunciados en primera mitad.
310,ball_out_of_play_events_count,SMALLINT,SOMETIMES,match_stoppage_times,Veces que el balón salió de juego.
311,home_manager_new_flag,BOOLEAN,OFTEN,manager_match_context,BOOL: Técnico local < 5 partidos.
312,tactical_style,VARCHAR(50),SOMETIMES,managers,POSSESSION/COUNTER/DIRECT/PRESSING.
313,away_manager_new_flag,BOOLEAN,OFTEN,manager_match_context,BOOL: Técnico visitante < 5 partidos.
314,start_date,DATE,SOMETIMES,manager_tenures,Fecha de inicio en el cargo.
315,home_manager_avg_goals_scored,"DECIMAL(6,3)",SOMETIMES,manager_match_context,Media goles favor técnico local.
316,full_name,VARCHAR(255),SOMETIMES,managers,Nombre completo del entrenador.
317,preferred_formation,VARCHAR(50),SOMETIMES,managers,"Formación habitual (4-3-3, 4-4-2, 3-5-2)."
318,matches_managed,VARCHAR(100),SOMETIMES,manager_tenures,Partidos dirigidos con este equipo.
319,nationality_code,VARCHAR(10),SOMETIMES,managers,País de origen del técnico.
320,end_date,DATE,SOMETIMES,manager_tenures,Fecha fin del cargo (NULL si activo).
321,away_manager_avg_goals_scored,"DECIMAL(6,3)",SOMETIMES,manager_match_context,Media goles favor técnico visitante.
322,preferred_foot,VARCHAR(100),RARE,players,LEFT/RIGHT/BOTH. Influye en posicionamiento táctico.
323,height_cm,INT,RARE,players,Altura en centímetros (duelos aéreos).
324,team_type,VARCHAR(50),RARE,teams,CLUB / NATIONAL_TEAM. Crítico para análisis club vs selección.
325,longitude,"DECIMAL(9,6)",RARE,cities,Coordenada GPS longitud.
326,attendance_count,SMALLINT,SOMETIMES,match_attendance,Espectadores presentes en el partido.
327,attendance_pct_capacity,"DECIMAL(5,2)",SOMETIMES,match_attendance,Asistencia / Capacidad * 100.
328,country_code,VARCHAR(10),RARE,teams,"Código ISO del país (ESP, ARG, GER)."
329,primary_position,VARCHAR(100),RARE,players,GK/CB/LB/RB/CDM/CM/CAM/LW/RW/ST.
330,country_code,VARCHAR(10),RARE,competitions,País de la competición (NULL para internacionales).
331,country_code,VARCHAR(10),RARE,cities,Código ISO del país.
332,social_sentiment_prematch,VARCHAR(100),OFTEN,match_attendance,Índice -1 a +1 de menciones positivas/negativas.
333,ffp_sanction_flag,BOOLEAN,RARE,teams,BOOL: Bajo sanción de Fair Play Financiero actualmente.
334,start_year,"DECIMAL(5,2)",RARE,seasons,Año de inicio (ej: 2023).
335,club_world_cup_titles,SMALLINT,RARE,teams,Mundiales de clubes/Intercontinentales ganados.
336,media_pressure_index,"DECIMAL(6,3)",OFTEN,match_attendance,"Índice de presión mediática (portadas, noticias)."
337,elite_football_parent_flag,BOOLEAN,RARE,players,BOOL: Padre/madre fue internacional o ganó títulos mayores.
338,forced_sales_flag,BOOLEAN,RARE,teams,BOOL: Obligado a vender jugadores por situación financiera.
339,domestic_cup_titles_count,SMALLINT,RARE,teams,Copas nacionales ganadas en historia.
340,is_night_match,BOOLEAN,RARE,matches,BOOL: True si partido nocturno (iluminación artificial).
341,season_label,VARCHAR(255),RARE,seasons,Etiqueta legible (2023/2024).
342,debt_to_revenue_ratio,"DECIMAL(5,2)",RARE,teams,Ratio deuda/ingresos anuales. >1 = problemas financieros.
343,end_year,"DECIMAL(5,2)",RARE,seasons,Año de finalización.
344,latitude,"DECIMAL(9,6)",RARE,cities,Coordenada GPS latitud.
345,home_fans_travel_distance_km,INT,OFTEN,match_attendance,Km promedio que viajan los fans del 'local' en campo neutral.
346,behind_closed_doors_flag,BOOLEAN,RARE,matches,BOOL: True si se juega sin público.
347,estimated_fan_ratio,"DECIMAL(5,2)",OFTEN,match_attendance,Proporción estimada fans local:visitante (ej: 70:30).
348,is_world_cup_year,BOOLEAN,RARE,seasons,BOOL: Copa del Mundo masculina ese año.
349,away_fans_travel_distance_km,INT,OFTEN,match_attendance,Km promedio que viajan los fans del visitante en neutral.
350,birth_date,DATE,RARE,players,Fecha de nacimiento para cálculo de edad exacta.
351,timezone,VARCHAR(100),RARE,cities,"Zona horaria (Europe/Madrid, America/Buenos_Aires)."
352,pandemic_era_flag,BOOLEAN,RARE,matches,BOOL: Partido durante COVID-19 (Mar 2020 - Jun 2022). Análisis histórico.
353,financial_risk_level,VARCHAR(50),RARE,teams,LOW/MEDIUM/HIGH/CRITICAL. Nivel de riesgo económico.
354,kickoff_utc_ts,TIMESTAMP,RARE,matches,Timestamp exacto del silbatazo inicial en UTC.
355,noise_differential_db,VARCHAR(100),OFTEN,match_attendance,Diferencial de ruido ambiente (proxy presión).
356,years_since_last_major_trophy,VARCHAR(100),RARE,teams,Sequía de títulos mayores. Mide hambre vs conformismo.
357,controversial_statements_flag,BOOLEAN,OFTEN,match_attendance,BOOL: Hubo declaraciones polémicas pre-partido.
358,football_parent_flag,BOOLEAN,RARE,players,BOOL: Padre/madre fue futbolista profesional.
359,home_ultras_banned_flag,BOOLEAN,OFTEN,match_attendance,BOOL: Afición local ausente por sanción.
360,geographic_advantage_flag,BOOLEAN,OFTEN,match_attendance,BOOL: Un equipo tiene ventaja geográfica clara en campo neutral.
361,crowd_density_index,"DECIMAL(6,3)",OFTEN,match_attendance,Asistencia/sectores para medir concentración.
362,market_value_eur,BIGINT,RARE,teams,Valor de mercado total de la plantilla en EUR.
363,market_value_eur,BIGINT,RARE,players,Valor de mercado individual en EUR.
364,social_mentions_volume,VARCHAR(100),OFTEN,match_attendance,Volumen de menciones en redes sociales pre-partido.
365,continental_titles_count,SMALLINT,RARE,teams,Champions/Libertadores/Europa League ganadas.
366,match_date_utc,DATE,RARE,matches,Fecha del partido en formato UTC para estandarización global.
367,is_sold_out,BOOLEAN,OFTEN,match_attendance,BOOL: Estadio lleno.
368,local_kickoff_hour_bucket,VARCHAR(100),RARE,matches,Categoría horaria: MORNING/AFTERNOON/EVENING/NIGHT.
369,league_titles_count,SMALLINT,RARE,teams,Campeonatos de liga ganados en historia del club.
370,kickoff_local_ts,TIMESTAMP,RARE,matches,Hora local del partido (relevante para fatiga biológica).
371,nationality_code,VARCHAR(10),RARE,players,Código ISO de nacionalidad principal.
372,neutral_venue_flag,BOOLEAN,RARE,matches,BOOL: True si no hay local/visitante real.
373,boos_last_match_flag,BOOLEAN,OFTEN,match_attendance,BOOL: Hubo silbidos/abucheos masivos en el partido anterior.
374,tier,VARCHAR(100),RARE,competitions,"Nivel: 1 (primera división), 2 (segunda), etc."
375,competition_type,VARCHAR(50),RARE,competitions,LEAGUE/CUP/CONTINENTAL/WORLD_CUP/FRIENDLY.
376,salary_delay_flag,BOOLEAN,RARE,teams,BOOL: Reportes de retrasos en pagos a jugadores.
377,position_in,VARCHAR(100),SOMETIMES,substitutions,Posición del jugador que entra.
378,home_xi_former_away_players_count,"DECIMAL(5,2)",OFTEN,match_emotional_connections,Jugadores XI local ex del visitante.
379,shot_minute,SMALLINT,SOMETIMES,shots,Minuto del disparo.
380,sub_minute,SMALLINT,SOMETIMES,substitutions,Minuto del cambio.
381,event_x,"DECIMAL(5,2)",SOMETIMES,match_events,Posición X en el campo (0-100).
382,first_goal_team,BOOLEAN,SOMETIMES,goals,BOOL: True si es el primer gol del partido.
383,shot_x,"DECIMAL(5,2)",SOMETIMES,shots,Posición X de origen del disparo.
384,var_check_minute_start,SMALLINT,SOMETIMES,var_reviews,Minuto cuando comienza la revisión.
385,card_minute,SMALLINT,SOMETIMES,cards,Minuto de la tarjeta.
386,foul_zone_x,"DECIMAL(5,2)",SOMETIMES,fouls,Coordenada X de la falta.
387,foul_zone_y,"DECIMAL(5,2)",SOMETIMES,fouls,Coordenada Y de la falta.
388,foul_result,VARCHAR(20),SOMETIMES,fouls,CARD/FREE_KICK/PENALTY/PLAY_ON.
389,event_timestamp_utc,TIMESTAMP,SOMETIMES,match_events,Momento exacto del evento en UTC.
390,set_piece_minute,SMALLINT,SOMETIMES,set_pieces,Minuto del balón parado.
391,away_xi_former_home_players_count,"DECIMAL(5,2)",OFTEN,match_emotional_connections,Jugadores XI visitante ex del local.
392,shot_type,VARCHAR(50),SOMETIMES,shots,OPEN_PLAY/SET_PIECE/PENALTY/FREE_KICK/CORNER.
393,shot_is_fast_break_flag,BOOLEAN,SOMETIMES,shots,BOOL: Tiro en contraataque.
394,first_sub_minute,SMALLINT,SOMETIMES,substitutions,Minuto de la primera sustitución del partido.
395,foul_severity,VARCHAR(100),SOMETIMES,fouls,LOW/MEDIUM/HIGH (intensidad).
396,shot_second,VARCHAR(100),SOMETIMES,shots,Segundo del disparo.
397,shot_preceded_by_cross_flag,BOOLEAN,SOMETIMES,shots,BOOL: Hubo centro previo.
398,card_reason_code,VARCHAR(10),SOMETIMES,cards,FOUL/PROTEST/SIMULATION/TIME_WASTING.
399,law_of_ex_home_flag,BOOLEAN,OFTEN,match_emotional_connections,BOOL: Ex-jugador en XI local vs su ex-club.
400,law_of_ex_away_flag,BOOLEAN,OFTEN,match_emotional_connections,BOOL: Ex-jugador en XI visitante vs su ex-club.
401,advantage_played_flag,BOOLEAN,SOMETIMES,fouls,BOOL: Árbitro dejó seguir.
402,shot_on_target_flag,BOOLEAN,SOMETIMES,shots,BOOL: Disparo entre los tres palos.
403,family_relation_type,VARCHAR(50),OFTEN,match_emotional_connections,BROTHER/FATHER/SON/COUSIN. Tipo de relación familiar con rival.
404,event_minute,SMALLINT,SOMETIMES,match_events,Minuto del partido (0-90+).
405,shot_body_part,VARCHAR(100),SOMETIMES,shots,FOOT/HEAD/OTHER.
406,shot_footedness,VARCHAR(100),SOMETIMES,shots,L/R para pie izquierdo/derecho.
407,card_zone_x,"DECIMAL(5,2)",SOMETIMES,cards,Coordenada X donde ocurrió.
408,set_piece_outcome,VARCHAR(100),SOMETIMES,set_pieces,GOAL/SHOT/CLEARANCE/RETAINED.
409,family_member_opponent_flag,BOOLEAN,OFTEN,match_emotional_connections,BOOL: Tiene hermano/padre/hijo en el XI del equipo rival.
410,possession_duration_s,VARCHAR(100),SOMETIMES,match_events,Duración en segundos de la posesión.
411,shot_blocked_flag,BOOLEAN,SOMETIMES,shots,BOOL: Disparo bloqueado por defensa.
412,card_type,VARCHAR(50),SOMETIMES,cards,YELLOW/SECOND_YELLOW/RED.
413,var_outcome,VARCHAR(100),SOMETIMES,var_reviews,OVERTURNED/CONFIRMED/NO_CHANGE.
414,event_outcome,VARCHAR(100),SOMETIMES,match_events,SUCCESS/FAIL para eventos con resultado.
415,away_goal_diff,VARCHAR(100),SOMETIMES,match_context,Diferencia de goles del visitante.
416,matches_remaining,VARCHAR(100),SOMETIMES,match_context,Partidos que quedan en temporada.
417,event_period,VARCHAR(100),SOMETIMES,match_events,1H/2H/ET1/ET2 (tiempos del partido).
418,position_out,VARCHAR(100),SOMETIMES,substitutions,Posición del jugador que sale.
419,possession_start_minute,SMALLINT,SOMETIMES,match_events,Minuto inicio de la posesión.
420,set_piece_type,VARCHAR(50),SOMETIMES,set_pieces,CORNER/FREE_KICK/THROW_IN/PENALTY.
421,var_check_duration_s,VARCHAR(100),SOMETIMES,var_reviews,Duración total en segundos.
422,foreign_nationality_pct_xi,"DECIMAL(5,2)",OFTEN,match_emotional_connections,% jugadores XI con nacionalidad diferente al país.
423,sub_tactical_intent,VARCHAR(100),SOMETIMES,substitutions,DEFENSIVE/OFFENSIVE/NEUTRAL.
424,stoppage_time_goal_flag,BOOLEAN,SOMETIMES,goals,BOOL: Gol en minutos 45+ o 90+.
425,goal_type,VARCHAR(50),SOMETIMES,goals,OPEN_PLAY/PENALTY/FREE_KICK/OWN_GOAL/HEADER.
426,shot_distance_m,INT,SOMETIMES,goals,Distancia en metros desde donde se disparó.
427,shot_is_one_touch_flag,BOOLEAN,SOMETIMES,shots,BOOL: Disparo directo sin controlar.
428,shot_distance_m,INT,SOMETIMES,shots,Metros desde donde se dispara.
429,sub_reason,VARCHAR(100),SOMETIMES,substitutions,TACTICAL/INJURY/PERFORMANCE.
430,var_total_delay_seconds_match,VARCHAR(100),SOMETIMES,var_reviews,Tiempo total parado por VAR en el partido.
431,foul_pitch_zone,VARCHAR(100),SOMETIMES,fouls,DEF/MID/ATT tercio del campo.
432,home_goal_diff,VARCHAR(100),SOMETIMES,match_context,Diferencia de goles del local.
433,throw_in_zone,VARCHAR(100),SOMETIMES,set_pieces,DEF/MID/ATT para saques de banda.
434,minutes_played_with_man_down,SMALLINT,SOMETIMES,cards,Minutos jugados con un hombre menos (tras roja).
435,set_piece_location_x,"DECIMAL(5,2)",SOMETIMES,set_pieces,Coordenada X del saque.
436,shot_xg,"DECIMAL(5,2)",SOMETIMES,shots,Expected Goals del disparo.
437,goal_xg,"DECIMAL(5,2)",SOMETIMES,goals,Expected Goals del disparo que resultó en gol.
438,shot_angle_deg,VARCHAR(100),SOMETIMES,goals,Ángulo de disparo en grados.
439,shot_angle_deg,VARCHAR(100),SOMETIMES,shots,Ángulo del disparo en grados.
440,congestion_x_rotation_away,"DECIMAL(5,2)",SOMETIMES,cross_correlation_features,Congestión × rotación XI visitante.
441,table_pressure_index_away,"DECIMAL(6,3)",SOMETIMES,cross_correlation_features,Índice presión clasificación visitante.
442,card_zone_y,"DECIMAL(5,2)",SOMETIMES,cards,Coordenada Y donde ocurrió.
443,sub_second,VARCHAR(100),SOMETIMES,substitutions,Segundo del cambio.
444,players_trained_by_opponent_manager,VARCHAR(100),OFTEN,match_emotional_connections,Jugadores entrenados por técnico rival.
445,shot_off_target_flag,BOOLEAN,SOMETIMES,shots,BOOL: Disparo desviado.
446,set_piece_location_y,"DECIMAL(5,2)",SOMETIMES,set_pieces,Coordenada Y del saque.
447,var_check_minute_end,SMALLINT,SOMETIMES,var_reviews,Minuto cuando termina la revisión.
448,congestion_x_rotation_home,"DECIMAL(5,2)",SOMETIMES,cross_correlation_features,Congestión × rotación XI local.
449,var_referee_overturn_rate,"DECIMAL(5,2)",SOMETIMES,var_reviews,Tasa histórica de decisiones revertidas del árbitro VAR.
450,shot_is_big_chance_flag,BOOLEAN,SOMETIMES,shots,BOOL: Ocasión clara (xG>0.3).
451,away_xi_on_loan_from_home,"DECIMAL(5,2)",OFTEN,match_emotional_connections,Cedidos del rival en XI visitante.
452,fan_pressure_composite,"DECIMAL(5,2)",SOMETIMES,cross_correlation_features,Índice combinado: winless_streak × -sentiment × media_pressure.
453,foul_second,VARCHAR(100),SOMETIMES,fouls,Segundo de la falta.
454,shot_y,"DECIMAL(5,2)",SOMETIMES,shots,Posición Y de origen del disparo.
455,first_yellow_minute,"DECIMAL(5,2)",SOMETIMES,cards,Minuto de la primera amarilla del partido.
456,original_decision,VARCHAR(100),SOMETIMES,var_reviews,GOAL/NO_GOAL/PENALTY/NO_PENALTY. Decisión antes de VAR.
457,shot_hits_woodwork_flag,BOOLEAN,SOMETIMES,shots,BOOL: Disparo al poste/larguero.
458,set_piece_second,VARCHAR(100),SOMETIMES,set_pieces,Segundo del balón parado.
459,var_review_count_match,SMALLINT,SOMETIMES,var_reviews,Número total de revisiones en el partido.
460,event_type,VARCHAR(50),SOMETIMES,match_events,GOAL/SHOT/FOUL/CARD/SUB/VAR/CORNER/OFFSIDE/INJURY.
461,foul_minute,SMALLINT,SOMETIMES,fouls,Minuto de la falta.
462,combined_momentum_index,"DECIMAL(6,3)",SOMETIMES,cross_correlation_features,Índice momentum local - visitante.
463,goal_body_part,VARCHAR(100),SOMETIMES,goals,FOOT_RIGHT/FOOT_LEFT/HEAD/OTHER.
464,assist_type,VARCHAR(50),SOMETIMES,goals,PASS/CROSS/CORNER/THROUGH_BALL/NONE.
465,corner_side,VARCHAR(100),SOMETIMES,set_pieces,L/R para córners izquierdo/derecho.
466,player_referee_conflict_history,VARCHAR(100),OFTEN,match_emotional_connections,Jugadores con historial vs este árbitro.
467,event_y,"DECIMAL(5,2)",SOMETIMES,match_events,Posición Y en el campo (0-100).
468,goal_situation,VARCHAR(100),SOMETIMES,goals,ORGANIZED_ATTACK/COUNTER/SET_PIECE.
469,shot_saved_flag,BOOLEAN,SOMETIMES,shots,BOOL: Parada del portero.
470,rain_x_possession_style,"DECIMAL(5,2)",SOMETIMES,cross_correlation_features,Lluvia × equipo de posesión.
471,economic_bonus_flag,BOOLEAN,OFTEN,match_emotional_connections,BOOL: Hay bonificación por ganar.
472,travel_fatigue_asymmetry,VARCHAR(100),SOMETIMES,cross_correlation_features,Asimetría de fatiga por viaje.
473,table_pressure_index_home,"DECIMAL(6,3)",SOMETIMES,cross_correlation_features,Índice presión clasificación local.
474,wind_x_long_ball_style,"DECIMAL(5,2)",SOMETIMES,cross_correlation_features,Viento × equipo de balón largo.
475,is_season_finale,BOOLEAN,SOMETIMES,match_context,BOOL: Última jornada de liga.
476,var_reason,VARCHAR(100),SOMETIMES,var_reviews,GOAL/PENALTY/RED/OFFSIDE.
477,home_xi_on_loan_from_away,"DECIMAL(5,2)",OFTEN,match_emotional_connections,Cedidos del rival en XI local.
478,event_second,VARCHAR(100),SOMETIMES,match_events,Segundo dentro del minuto (0-59).
479,card_second,VARCHAR(100),SOMETIMES,cards,Segundo de la tarjeta.
480,altitude_x_visitor_sea_level,"DECIMAL(5,2)",SOMETIMES,cross_correlation_features,Altitud × visitante de nivel mar.
481,goal_minute,SMALLINT,SOMETIMES,goals,Minuto exacto del gol.
482,fatigue_rest_diff,VARCHAR(100),SOMETIMES,cross_correlation_features,Diferencia días descanso (home - away).
483,major_injury_flag,BOOLEAN,OFTEN,player_injuries,BOOL: ACL/menisco/fractura grave en historial.
484,months_since_major_injury,VARCHAR(100),OFTEN,player_injuries,Meses desde retorno de lesión grave (NULL si nunca).
485,injury_type,VARCHAR(50),OFTEN,player_injuries,MUSCULAR/LIGAMENT/BONE/ILLNESS/OTHER.
486,is_recurring,BOOLEAN,OFTEN,player_injuries,BOOL: Lesión recurrente en misma zona.
487,days_out,SMALLINT,OFTEN,player_injuries,Días totales de baja.
488,severity,VARCHAR(100),OFTEN,player_injuries,MINOR/MODERATE/SEVERE/CAREER_THREATENING.
489,body_zone,VARCHAR(100),OFTEN,player_injuries,LEG/KNEE/ANKLE/BACK/ARM/HEAD.
490,injury_start_date,DATE,OFTEN,player_injuries,Fecha cuando se lesionó.
491,injury_end_date,DATE,OFTEN,player_injuries,Fecha de retorno a entrenamientos.
492,transfer_type,VARCHAR(50),OFTEN,player_transfers,PERMANENT/LOAN/FREE/RETURN_LOAN.
493,transfer_date,DATE,OFTEN,player_transfers,Fecha del traspaso.
494,transfer_fee_eur,BIGINT,OFTEN,player_transfers,Precio del traspaso en EUR.
495,competition_name,VARCHAR(255),NEVER,competitions,"La Liga, Premier League, Copa del Mundo, etc."
496,affected_relation,VARCHAR(100),OFTEN,player_personal_events,PARENT/SIBLING/CHILD/SPOUSE/TEAMMATE/FRIEND. Relación con la persona.
497,city_name,VARCHAR(255),NEVER,cities,Nombre de la ciudad.
498,team_name,VARCHAR(255),NEVER,teams,Nombre oficial del equipo.
499,full_name,VARCHAR(255),NEVER,players,Nombre completo oficial del jugador.
500,days_since_event,SMALLINT,OFTEN,player_personal_events,Días transcurridos desde el evento. Impacto decae con tiempo.
501,severity,VARCHAR(100),OFTEN,player_personal_events,LOW/MEDIUM/HIGH/CRITICAL. Pondera el impacto psicológico.
502,event_type,VARCHAR(50),OFTEN,player_personal_events,BEREAVEMENT/BIRTH/WEDDING/ILLNESS_FAMILY/DIVORCE. Categoría del evento.
503,event_date,DATE,OFTEN,player_personal_events,Fecha del evento personal.
504,country_stability_index,"DECIMAL(6,3)",OFTEN,match_geopolitical_context,Índice 0-100 de estabilidad política (Global Peace Index).
505,security_level,VARCHAR(50),OFTEN,match_geopolitical_context,LOW/MEDIUM/HIGH/EXTREME. Nivel de despliegue policial requerido.
506,bilateral_tension_flag,BOOLEAN,OFTEN,match_geopolitical_context,BOOL: Tensión política entre países de los equipos (Serbia-Kosovo).
507,public_order_alert_flag,BOOLEAN,OFTEN,match_geopolitical_context,BOOL: Protestas/disturbios en la ciudad el día del partido.
508,active_conflict_flag,BOOLEAN,OFTEN,match_geopolitical_context,BOOL: Conflicto armado activo en el país del partido.
509,mobility_restriction_flag,BOOLEAN,OFTEN,match_geopolitical_context,BOOL: Toque de queda o restricciones de movimiento activas.
510,days_to_major_tournament,SMALLINT,OFTEN,player_tournament_context,Días hasta Copa del Mundo/Eurocopa/Copa América si está convocado.
511,national_team_callup_flag,BOOLEAN,OFTEN,player_tournament_context,BOOL: Convocado para próxima fecha FIFA o torneo.
512,days_to_continental_match,SMALLINT,OFTEN,player_tournament_context,Días hasta próximo partido de torneo continental.
513,self_preservation_risk,VARCHAR(100),OFTEN,player_tournament_context,Índice 0-1: probabilidad de que el jugador 'se guarde' para torneo mayor.
514,incident_date,DATE,OFTEN,player_media_incidents,Fecha del incidente.
515,incident_match_importance,VARCHAR(100),OFTEN,player_media_incidents,LOW/MEDIUM/HIGH/CRITICAL. Importancia del partido del error.
516,days_since_incident,SMALLINT,OFTEN,player_media_incidents,Días desde el error viral. Impacto psicológico decae.
517,negative_mentions_volume,VARCHAR(100),OFTEN,player_media_incidents,Volumen de menciones negativas en redes post-error.
518,viral_error_flag,BOOLEAN,OFTEN,player_media_incidents,BOOL: El error se volvió viral en redes/medios.
519,error_type,VARCHAR(50),OFTEN,player_media_incidents,OWN_GOAL/MISSED_SITTER/STUPID_RED/PENALTY_MISS/HOWLER.
520,antidoping_sanctions_count,SMALLINT,OFTEN,player_discipline_history,Sanciones oficiales por sustancias prohibidas en carrera.
521,public_conduct_incidents,VARCHAR(100),OFTEN,player_discipline_history,Arrestos/incidentes públicos documentados en prensa.
522,days_since_last_incident,SMALLINT,OFTEN,player_discipline_history,Tiempo desde último problema público documentado.
523,club_fines_season,VARCHAR(100),OFTEN,player_discipline_history,Multas internas del club por indisciplina en temporada.
524,unexcused_absences_season,VARCHAR(100),OFTEN,player_discipline_history,Faltas a entrenamientos sin justificación en temporada.
525,staff_conflicts_flag,BOOLEAN,OFTEN,player_discipline_history,BOOL: Conflictos públicos con entrenador/directiva.
526,internal_suspensions_count,SMALLINT,OFTEN,player_discipline_history,Suspensiones internas impuestas por el club.
527,event_id,BIGINT,NEVER,match_events,Identificador único del evento atómico.
528,possession_id,INT,NEVER,match_events,Identificador de la secuencia de posesión.
529,event_id,BIGINT,NEVER,goals,FK → match_events. Evento asociado.
530,assister_id,INT,NEVER,goals,FK → players. Jugador que asiste (NULL si no hay).
531,event_id,BIGINT,NEVER,shots,FK → match_events. Evento asociado.
532,event_id,BIGINT,NEVER,cards,FK → match_events.
533,event_id,BIGINT,NEVER,substitutions,FK → match_events.
